RC1_Adopted,RC2_Died,RC3_Residence_Order,RC4_Special_Guardianship_Order,RC5_Transfer_to_another_LA,RC6_Transfer_to_Adult_Social_Service,RC7_Other
32,6,0,34,105,12,1261
0,15,c,37,102,29,3169
0,c,0,c,c,0,105
0,0,0,0,0,0,1874
102,13,40,19,162,25,2806
25,c,c,0,58,13,2447
18,9,8,22,162,10,2746
0,c,0,c,0,0,1693
26,14,0,28,324,10,2629
15,c,0,0,35,9,1218
16,c,c,14,40,7,1356
33,9,21,9,81,51,2656
29,c,c,24,109,15,2224
26,c,c,21,86,32,1142
26,6,11,20,85,23,1111
11,c,10,13,44,13,2426
15,c,c,c,99,7,2050
33,11,8,20,101,30,2602
16,c,c,c,27,11,672
28,c,c,26,55,31,2238
8,c,c,c,56,6,915
42,8,16,29,103,11,2168
27,c,c,18,134,75,3198
15,c,c,11,80,14,1580
32,c,c,34,126,31,4341
14,c,c,18,67,8,1159
13,c,0,c,94,11,1250
46,c,c,24,60,26,3092
12,c,0,c,84,14,853
c,c,0,8,15,7,840
c,c,0,c,30,c,1797
21,12,0,12,170,35,3545
15,c,c,16,137,28,2362
0,23,0,c,32,c,21013
c,c,c,0,7,0,1905
c,47,c,48,1210,143,12663
6,8,c,c,34,28,1315
20,c,c,9,63,30,1970
15,c,c,12,42,16,3090
17,8,c,c,30,11,2800
c,7,0,c,63,9,1081
22,c,c,7,96,9,1475
30,c,18,22,50,17,2021
18,7,19,45,347,91,4057
0,c,0,c,41,c,1555
24,c,c,42,106,59,384
7,0,0,c,33,c,1884
c,0,0,7,9,c,570
c,c,0,8,15,15,567
21,8,6,22,32,22,3688
13,c,0,27,37,c,1884
7,8,c,15,49,20,4309
41,13,13,43,102,40,3374
26,7,23,14,115,19,1498
32,21,6,30,118,19,4187
0,0,0,0,0,c,19
c,c,c,6,17,11,595
29,c,c,23,42,16,1358
44,c,c,27,47,11,3062
9,c,c,13,30,17,898
13,c,0,c,78,19,1473
26,6,0,6,54,14,1138
9,8,0,9,38,28,1717
7,c,c,18,82,19,1012
0,0,0,0,16,0,c
12,c,c,21,176,7,1242
c,c,c,6,65,6,869
10,c,0,9,118,c,1382
c,c,c,13,98,10,1231
c,c,0,9,44,c,1257
c,c,566,21,137,0,788
21,8,0,17,224,14,1478
c,10,c,16,179,10,3211
6,6,8,13,169,12,1390
c,6,0,c,120,13,2676
0,c,0,0,c,0,1682
0,0,0,c,c,0,c
c,c,0,23,108,14,2672
c,c,11,9,117,15,2040
c,9,c,8,119,16,1550
0,c,0,6,95,c,2639
18,c,c,c,131,23,2294
19,9,0,13,238,38,2725
6,c,c,c,98,9,1288
c,7,c,22,171,36,3104
10,13,7,22,70,10,1191
c,c,0,11,129,8,1525
c,c,6,c,65,30,1675
c,c,c,c,272,29,1937
c,6,c,c,35,c,2621
c,c,0,8,82,6,677
7,c,c,6,93,6,587
c,c,0,6,137,24,2331
c,c,0,10,56,7,758
7,c,c,c,0,25,907
c,8,c,14,113,12,2828
70,12,23,81,73,29,3191
18,c,15,24,c,10,493
15,c,c,60,39,26,869
14,c,c,21,44,6,1608
24,c,0,65,110,c,2986
35,c,0,52,c,0,1354
14,7,c,c,48,24,976
30,c,c,31,38,16,1396
8,c,14,51,59,17,1509
0,c,11,26,37,c,1102
21,c,13,36,63,14,2287
37,c,16,74,40,c,2131
27,c,c,9,51,15,844
20,c,0,42,65,c,1554
56,c,c,42,30,13,3619
9,9,c,11,60,8,1398
20,7,c,9,59,14,1324
37,c,c,10,21,12,1491
24,c,c,10,34,31,2017
c,c,7,28,16,c,799
c,c,0,44,21,7,1002
55,c,c,12,123,48,4161
25,9,9,26,66,24,3043
51,13,c,62,113,30,5910
37,8,0,23,108,17,2637
21,c,c,11,103,30,2633
c,0,c,13,72,12,2440
20,c,c,19,94,22,1485
10,7,c,26,43,c,891
8,11,c,c,57,17,2276
18,c,0,21,60,c,1675
13,c,c,14,42,20,1280
13,c,c,44,43,12,1038
9,13,0,14,84,20,2467
15,7,c,17,67,15,1887
37,8,c,33,69,19,2236
32,9,10,19,140,49,5523
14,0,c,14,63,c,1756
c,c,8,13,42,c,835
6,c,6,0,33,c,1868
27,11,13,63,62,8,2833
24,c,c,18,47,20,2270
39,c,c,50,91,c,3397
7,c,c,28,69,10,2207
12,c,6,23,20,c,729
28,6,8,20,67,29,3096
27,9,c,29,63,c,1729
37,15,13,43,76,29,3532
35,c,c,23,36,16,2957
12,c,c,c,48,9,1254
29,7,0,25,69,21,2718
0,26,0,0,0,0,5348
31,c,0,19,38,c,1417
c,6,c,0,19,c,3488
