RC1_Adopted,RC2_Died,RC3_Residence_Order,RC4_Special_Guardianship_Order,RC5_Transfer_to_another_LA,RC6_Transfer_to_Adult_Social_Service,RC7_Other
10,0,0,c,c,6,933
7,10,0,7,82,17,1533
19,c,c,15,14,10,387
43,6,8,23,70,c,3912
15,c,15,21,55,c,600
12,c,c,11,53,10,657
22,c,11,c,79,9,787
42,c,0,54,55,22,1996
15,c,c,18,16,7,1331
20,c,c,6,58,37,2069
12,c,c,6,42,16,802
21,c,c,9,0,10,1424
9,c,0,c,25,c,2181
27,c,c,c,10,16,3876
20,c,c,21,109,10,1561
14,c,c,8,113,11,1834
24,c,c,28,49,8,1658
c,8,c,7,76,9,1565
18,c,c,26,54,14,1379
48,c,c,17,67,27,1302
76,c,c,18,24,28,2097
23,c,c,13,33,c,654
13,c,c,27,34,9,776
77,15,8,15,220,51,5225
40,c,c,18,71,17,3694
56,c,c,55,195,35,3660
34,c,c,14,127,50,1629
44,9,8,16,47,21,1030
9,6,0,c,64,53,1829
6,12,c,c,30,10,1248
26,c,0,c,44,14,877
c,10,c,16,98,22,1497
22,6,c,6,123,c,1487
c,c,0,14,32,12,1419
9,c,c,18,49,7,697
27,c,c,23,27,9,3881
11,10,7,42,84,22,2051
39,c,c,32,43,16,1588
19,16,c,c,110,25,4180
10,0,c,19,81,c,2263
26,c,7,39,49,c,2552
0,c,0,0,c,c,2514
27,c,16,41,97,c,2687
33,9,14,48,0,0,2369
73,10,14,49,90,6,3241
8,12,c,c,28,11,1780
15,c,6,21,41,8,643
39,c,c,28,92,27,2104
24,c,c,28,138,10,1371
42,11,24,26,101,89,3651
33,7,c,c,36,0,2074
0,c,0,0,30,0,890
24,c,13,c,22,15,1611
52,13,66,28,6,0,2363
27,9,c,16,71,c,1517
0,c,0,0,0,c,3282
32,c,c,44,192,29,2890
67,c,0,40,0,c,3542
21,10,0,8,110,16,2132
c,10,c,35,114,14,2490
c,0,0,c,9,c,134
94,13,13,10,100,68,6743
25,10,c,c,190,25,3045
0,0,0,0,86,0,2389
19,c,0,7,6,16,542
26,c,0,c,200,c,3252
c,0,0,0,c,0,637
15,c,c,c,33,c,1593
47,c,15,c,141,36,2610
31,8,c,c,87,22,2010
24,c,c,c,47,6,1085
41,9,19,34,164,23,1430
8,13,c,8,8,c,2473
40,c,0,8,15,c,4308
38,c,10,17,83,c,2361
16,c,12,c,49,0,549
31,10,11,12,98,39,2461
11,c,c,c,66,28,811
61,16,46,59,197,29,2421
76,16,9,20,141,71,2557
14,8,0,13,96,28,496
69,7,10,54,45,22,4890
29,8,7,20,120,9,2172
21,c,c,8,30,0,872
53,c,c,19,63,13,2414
7,c,c,16,72,16,769
c,c,0,6,32,10,835
31,c,6,26,c,6,1719
28,8,0,11,149,38,1686
22,15,0,24,121,12,2118
7,28,c,6,70,c,7091
13,c,c,c,c,0,922
89,44,12,78,565,84,8353
11,c,c,16,26,8,989
11,c,c,24,73,18,1323
42,c,c,29,57,49,2475
30,c,c,8,52,12,1950
6,c,c,c,66,c,936
c,7,c,9,74,9,1108
11,9,42,9,c,6,2255
31,13,c,50,148,56,10482
c,c,0,11,c,7,471
c,18,c,33,106,29,483
7,0,c,c,c,0,561
0,c,0,c,18,11,326
7,c,c,8,27,12,648
16,c,0,31,c,0,572
27,7,7,22,70,20,3877
36,9,c,c,80,34,1415
69,c,17,36,32,c,1978
40,c,c,16,93,17,1450
45,c,c,21,132,16,2831
c,0,0,0,c,0,9
24,c,c,7,30,13,986
10,7,0,c,c,c,1891
6,0,c,0,12,10,834
30,c,c,31,37,15,3410
c,c,0,12,48,16,1095
13,c,c,17,18,c,2268
10,c,c,0,0,0,1268
15,10,0,6,44,35,2305
10,c,c,c,63,21,1164
0,c,0,0,12,0,31
12,c,0,10,191,14,3734
c,0,0,0,0,0,678
13,c,0,8,149,c,2054
7,c,0,14,101,10,1970
c,c,0,0,74,21,1230
c,c,0,14,77,c,756
14,c,0,22,172,15,2435
c,15,c,16,180,7,2699
c,c,c,9,162,10,649
c,c,0,14,46,30,2244
0,c,0,0,14,7,2623
0,0,0,0,c,0,1315
12,c,c,15,62,c,2627
c,c,0,17,163,14,2722
23,c,c,10,99,15,1286
0,c,c,7,54,0,3403
14,c,c,19,132,23,864
20,c,c,27,333,54,2439
9,c,c,12,118,45,2433
9,c,c,21,178,52,1593
29,c,c,30,45,22,1214
11,c,c,24,87,8,1181
c,c,0,0,50,0,1392
16,9,c,c,198,9,1948
8,c,0,c,32,c,2034
c,c,0,13,33,c,451
c,c,0,c,27,c,608
8,c,c,17,252,36,2986
c,c,0,c,59,12,551
11,0,c,c,c,13,1165
c,c,0,18,79,c,924
13,0,0,c,9,8,641
53,6,c,c,64,0,1580
15,9,15,c,70,c,595
12,c,c,10,35,14,457
11,c,0,c,53,15,758
28,c,0,15,55,8,1791
10,c,c,21,14,7,1284
28,c,c,c,27,26,2249
9,c,8,c,40,9,720
29,c,15,13,c,8,726
14,7,c,c,31,c,2408
c,0,0,0,8,c,724
35,10,0,33,100,17,1233
c,c,0,0,99,c,2819
23,7,9,25,72,15,1629
c,c,0,c,90,13,1259
22,c,c,11,55,10,1785
37,c,c,25,68,31,1219
59,c,c,16,65,42,2443
12,c,c,11,51,c,796
16,c,c,10,16,15,1398
99,18,9,19,242,47,6402
43,c,c,48,152,13,5566
75,10,17,44,164,43,3010
25,c,c,14,77,9,1092
41,7,7,27,83,8,875
13,c,0,15,69,54,1971
c,c,0,c,25,18,1781
11,c,c,15,41,14,711
21,c,c,15,104,12,1398
30,6,0,15,55,8,884
7,c,c,7,49,10,1410
14,c,c,27,31,14,684
42,11,6,51,65,8,3455
18,13,6,71,55,33,2033
26,7,6,43,79,22,1238
17,9,c,c,86,25,4361
24,c,c,15,98,6,1564
38,c,c,29,90,c,2267
c,c,0,0,11,c,2939
36,11,c,8,c,c,2524
43,c,14,43,0,0,1299
96,c,12,50,141,c,3188
23,7,c,c,37,104,1492
11,c,c,22,28,8,781
42,c,c,15,136,49,1328
23,c,c,10,72,13,3073
33,c,c,26,108,78,2676
46,c,c,13,152,0,1128
0,c,0,c,14,c,490
42,c,c,11,c,9,1902
c,6,0,c,c,c,4707
40,6,0,20,66,12,1824
0,7,0,0,0,0,2737
27,12,c,16,63,0,4079
50,0,0,38,0,0,4712
10,c,c,6,56,c,7512
27,7,0,29,174,9,2524
c,0,0,c,8,c,210
83,17,13,17,125,24,6621
64,21,c,c,165,21,2693
0,11,0,28,195,0,4244
c,c,0,0,15,0,772
28,c,0,c,98,c,2998
0,c,0,0,c,0,896
18,c,9,c,23,7,1475
94,c,15,c,191,48,3581
35,c,c,11,74,c,1792
19,c,0,c,64,c,1196
34,8,10,14,133,11,2787
12,6,c,c,13,14,2535
7,c,c,14,57,c,2928
43,6,13,11,82,40,2030
21,c,c,29,62,0,423
41,c,c,16,65,26,2946
25,c,c,c,69,25,680
81,15,11,45,172,52,2613
71,19,10,57,181,59,1946
18,c,c,24,96,15,1424
73,9,8,41,31,46,4239
28,c,c,13,55,21,1250
26,c,c,12,47,20,471
35,6,6,23,29,21,2694
11,0,0,12,92,14,970
6,c,c,0,33,8,523
21,c,8,23,0,c,1699
43,6,7,7,140,38,66
33,c,c,15,107,8,1695
16,27,0,16,105,0,7495
16,c,c,c,7,0,997
96,33,9,83,623,101,5959
13,c,21,23,35,c,1530
11,c,c,15,67,15,1043
39,18,9,22,84,52,2049
34,7,c,c,40,11,1720
11,c,c,c,138,0,1094
10,7,c,c,68,14,1803
11,c,c,19,c,0,3485
62,9,9,41,127,57,9750
12,c,0,c,16,c,1136
50,15,20,42,99,46,1890
c,c,c,c,9,c,467
0,c,0,c,21,11,350
9,c,c,8,17,17,476
0,0,0,0,24,c,622
36,6,6,36,93,27,2948
43,c,c,23,86,37,1247
31,c,20,c,51,71,2752
11,c,c,30,157,21,2206
31,c,c,41,83,11,2245
0,0,0,0,c,c,c
13,c,0,c,19,20,878
c,0,0,0,0,0,2571
16,c,c,c,40,6,1077
27,c,c,26,63,25,3100
0,c,0,c,36,c,650
14,c,c,12,37,7,2150
11,c,c,0,0,0,1208
18,8,8,19,62,14,2972
6,c,c,c,91,c,1265
0,0,0,c,12,0,21
19,6,c,12,180,17,3080
0,0,0,0,c,0,1387
0,0,0,0,c,c,551
14,c,c,21,107,15,2177
c,0,0,7,74,15,1411
c,c,c,12,52,c,924
24,c,0,c,148,19,2252
c,c,c,7,154,30,2508
24,c,c,17,136,7,1028
c,0,0,7,42,0,1462
0,0,0,c,24,c,2564
c,0,0,0,c,0,1073
11,c,c,24,0,8,2350
c,c,0,17,124,18,2320
24,c,c,14,61,22,932
c,c,0,11,88,0,2899
20,10,c,c,148,16,833
22,9,6,18,262,22,2734
c,7,0,17,113,7,2498
8,c,c,25,142,35,2566
20,c,c,40,51,20,831
6,c,c,11,93,11,1128
0,0,0,0,73,0,1171
c,11,c,c,226,10,1863
c,c,c,18,18,7,1905
8,c,c,11,37,0,556
8,c,c,6,38,8,967
10,7,9,13,363,57,3129
c,c,0,7,39,6,643
0,c,0,7,26,c,1104
10,0,0,19,138,7,1207
6,c,c,c,c,c,304
28,6,c,0,13,c,2943
14,9,0,16,79,18,537
10,0,13,12,13,12,566
18,c,c,14,40,34,862
26,c,c,15,85,6,1463
23,c,c,6,11,13,1031
37,8,c,c,46,34,3310
c,c,20,15,35,11,638
20,c,11,13,0,15,1500
15,c,0,14,41,c,1631
c,0,0,c,c,0,1951
24,c,c,27,94,14,1533
9,0,0,c,67,c,2207
48,c,c,16,57,13,1788
25,c,c,6,61,8,1099
18,7,0,15,59,12,1870
41,c,c,45,57,19,1369
38,11,c,c,64,45,1764
21,c,11,15,29,c,438
12,c,c,9,25,14,1166
50,21,7,11,324,42,6939
67,11,15,112,142,15,4405
80,c,c,53,69,28,2524
35,9,c,9,69,c,1113
51,c,c,15,132,26,1700
25,c,c,18,93,74,1753
c,c,0,7,29,21,1818
48,c,c,20,56,19,1222
29,c,c,15,58,11,1263
15,c,c,41,40,c,493
13,c,0,c,53,c,1726
7,c,c,c,26,11,468
43,c,c,42,80,22,2639
18,7,6,37,69,23,2623
38,c,c,29,91,34,1366
37,12,8,22,63,33,4465
13,c,c,19,76,6,1199
39,c,11,31,71,c,1987
c,c,0,0,16,8,2559
c,0,0,c,14,6,2224
42,10,14,36,0,0,1012
106,7,15,41,129,10,2714
25,11,6,17,43,c,1224
6,c,9,26,35,7,551
46,c,c,20,115,25,2360
23,c,c,7,27,c,4004
50,8,7,36,82,82,1798
9,c,c,c,169,c,1188
19,c,c,15,25,10,209
27,c,c,15,10,10,2678
c,c,0,c,0,0,3510
36,c,c,29,86,14,1327
0,c,0,0,26,0,2692
38,c,c,26,153,10,3632
74,c,6,37,c,0,4912
0,0,0,0,0,0,3278
0,12,7,30,126,7,2636
c,0,0,0,0,0,38
83,6,9,25,161,32,5642
33,c,c,92,155,20,3481
17,c,0,c,0,0,2200
0,c,c,c,0,0,1972
17,c,6,12,50,c,1166
0,c,0,0,c,0,866
12,c,10,c,27,6,1352
59,9,8,0,175,59,3165
40,c,c,13,47,15,1484
14,c,c,9,49,15,721
33,c,c,24,56,18,1115
28,c,c,7,41,51,3862
50,c,0,6,c,0,2743
50,8,8,9,82,36,2243
21,c,c,10,45,0,1036
37,c,c,12,58,57,846
13,c,c,13,59,9,820
112,19,13,50,268,94,4070
49,15,12,32,249,107,1356
19,7,c,33,46,19,2792
18,c,c,22,39,10,2237
41,c,c,23,97,9,2052
21,c,c,24,39,13,793
38,c,c,20,34,23,3457
19,c,c,14,47,8,1005
9,0,0,c,24,c,609
39,6,7,45,0,c,1877
47,7,c,8,143,33,5589
12,c,0,0,26,c,3286
24,27,0,c,61,c,6494
8,c,0,c,6,c,1893
115,36,13,85,492,123,5980
c,c,c,19,51,0,1369
19,c,c,21,63,10,966
47,13,9,38,102,43,2279
25,11,7,c,9,9,1686
23,c,7,6,78,c,894
8,c,c,c,107,7,1869
27,11,14,27,0,0,3623
45,c,10,39,123,57,9215
c,0,0,c,54,8,842
35,c,c,18,99,27,1484
c,0,c,14,10,10,366
c,c,0,c,20,15,325
0,0,c,c,9,9,924
10,c,0,6,0,c,2188
22,c,c,38,65,28,2205
13,c,12,c,62,21,1173
36,29,11,22,65,42,2971
14,c,29,c,93,23,2142
42,c,c,26,87,9,2730
0,0,0,0,0,0,9
c,c,0,9,22,8,677
c,7,0,0,0,c,3078
18,c,0,c,35,16,1469
61,13,6,39,59,35,3466
c,c,0,c,29,10,797
10,c,8,c,23,c,2090
9,c,c,0,0,0,1289
21,c,c,16,55,7,3071
8,c,c,6,107,12,1271
c,0,0,0,9,0,11
16,7,c,9,130,19,2945
c,c,0,13,c,0,1315
19,c,c,26,109,c,1050
c,6,0,7,42,17,1729
c,c,0,c,81,8,1295
10,c,c,11,46,7,999
66,c,41,10,159,31,2276
c,c,c,23,117,30,1899
0,0,c,0,c,0,1510
11,0,c,c,29,c,1660
0,c,0,c,13,0,1640
c,0,0,0,c,0,1188
26,c,c,23,c,11,2834
10,c,c,11,114,18,2099
21,6,7,14,85,25,1094
c,c,c,20,60,0,2063
15,0,0,6,22,7,996
9,c,c,22,156,30,2132
8,c,c,34,114,8,2552
8,0,9,c,107,30,3138
12,c,c,26,23,13,1009
10,c,c,15,71,21,1006
0,0,0,0,17,0,1246
16,7,c,c,133,16,1699
7,c,0,8,18,13,2729
10,c,c,6,77,c,643
11,c,c,c,30,10,552
14,6,0,10,273,78,3257
c,7,c,7,45,9,526
9,c,0,24,0,c,636
0,0,c,c,37,c,2637
13,0,0,c,0,0,544
45,8,9,55,72,51,2634
c,8,0,c,30,8,877
19,c,11,c,25,12,643
7,c,c,9,16,22,1553
48,c,c,16,79,10,1681
18,c,c,c,12,c,463
24,c,c,22,48,34,4466
23,c,8,c,37,10,774
24,c,18,c,c,c,2419
34,c,6,c,21,15,1182
25,c,c,9,39,c,2562
41,c,c,28,108,7,1632
22,c,c,9,66,6,1796
49,c,c,14,41,18,1725
21,c,c,12,105,10,1552
18,c,c,14,39,8,2114
31,c,c,34,89,12,1170
36,c,c,15,71,51,1883
14,c,c,14,41,8,397
14,c,c,c,9,20,981
c,7,0,c,259,10,9495
57,11,12,58,168,18,6920
62,c,c,43,64,21,2491
6,c,6,c,41,c,876
43,9,c,c,106,13,2082
44,c,0,7,82,6,1813
20,7,c,c,15,16,1602
40,c,c,15,51,13,1199
17,0,14,16,75,12,847
36,9,7,33,35,6,1012
14,c,0,c,74,12,955
14,c,c,21,32,11,635
50,c,c,18,50,17,1131
22,c,c,26,36,21,3478
33,c,c,19,59,18,665
40,c,c,25,77,32,4547
22,c,c,24,88,c,1380
34,c,20,32,49,c,1738
6,0,0,0,7,6,2675
49,16,12,c,c,c,1639
42,6,0,0,c,0,2576
126,8,16,44,112,6,2818
30,6,13,13,67,c,1906
18,0,22,18,37,10,493
48,9,10,20,146,28,1906
18,c,c,c,20,8,4410
34,10,12,26,74,65,2540
29,13,c,21,62,c,5497
21,c,c,15,31,13,202
c,c,0,0,11,0,1713
c,c,0,0,0,0,3366
48,c,c,20,88,10,1107
0,0,0,0,c,0,4237
78,c,c,11,170,40,4364
0,0,0,0,0,0,2433
0,0,0,0,0,0,3192
29,14,17,29,216,6,2387
0,0,0,c,c,c,188
67,17,17,17,296,75,6191
58,9,c,c,196,18,2782
35,c,c,13,12,0,2608
16,c,c,0,22,25,1842
36,c,8,18,81,c,1149
0,c,0,0,c,c,807
17,c,c,6,15,0,2542
53,10,24,29,199,41,3507
13,6,7,29,72,14,1520
33,9,c,c,27,14,630
31,c,20,23,c,c,5278
24,6,0,17,31,33,3892
c,c,0,0,0,29,2671
40,9,13,7,135,35,1429
8,c,c,17,46,16,1225
33,8,c,13,0,0,3850
18,c,c,17,69,17,486
128,17,12,57,218,81,3363
72,19,15,53,223,80,2379
25,c,c,18,c,0,1680
8,c,c,11,27,8,1035
24,c,c,9,93,7,1069
24,c,c,10,75,17,432
75,c,8,55,35,c,4426
12,c,c,18,42,c,948
6,c,0,0,15,c,606
47,c,c,14,0,13,1969
35,c,0,c,118,35,4547
16,c,c,12,8,c,4294
34,19,c,0,77,c,6892
6,c,0,c,7,c,2034
187,23,32,80,354,146,5850
11,c,c,8,72,c,1255
13,c,c,10,61,22,1041
34,8,7,31,129,46,2143
28,c,c,c,26,9,1624
6,c,c,0,6,c,1312
17,7,c,c,90,8,2199
0,0,0,0,0,0,4616
38,11,12,49,58,57,7317
c,c,c,c,42,8,894
43,c,c,20,97,38,498
18,c,c,c,17,c,649
6,c,c,8,29,10,332
c,0,c,6,36,c,387
13,c,0,6,c,0,1848
24,17,9,41,75,33,2251
26,c,8,c,100,24,1018
63,31,c,9,c,43,4115
12,c,c,12,118,14,2312
41,c,c,28,84,14,2286
0,0,0,0,0,0,c
8,0,c,c,21,6,1012
c,0,0,0,c,c,3720
16,c,c,0,32,7,1341
39,7,43,14,51,21,3410
c,c,c,c,41,11,823
9,c,c,6,22,10,1697
0,c,c,c,27,6,1181
12,c,c,11,82,12,2541
19,c,c,0,72,6,828
0,0,0,0,0,c,9
9,7,0,c,108,c,3025
12,c,c,9,6,21,913
14,c,c,14,83,10,1066
7,c,c,17,80,16,2225
6,0,c,c,84,17,1361
22,c,7,32,60,c,835
35,c,9,21,108,22,2809
12,c,c,c,107,c,1349
14,c,c,12,56,c,1414
21,0,6,10,67,c,1936
c,c,c,c,9,c,1873
c,c,0,0,9,0,1187
30,c,c,25,c,9,3007
17,c,c,17,101,8,2269
13,c,c,14,60,12,980
10,c,c,c,47,0,1954
0,10,0,c,c,7,1344
27,c,c,31,149,23,1911
16,c,8,40,99,17,2736
16,c,c,6,91,21,2665
19,6,7,41,46,9,1086
6,c,0,c,40,12,945
c,0,0,0,22,c,665
10,c,c,c,185,22,1446
15,6,c,11,40,13,2574
7,c,c,12,55,12,721
c,c,c,c,76,c,759
6,c,c,7,290,c,3119
11,c,0,c,44,8,438
c,c,c,20,14,0,410
0,0,c,c,33,0,1940
14,6,c,c,c,0,444
28,8,0,0,c,0,4351
33,7,18,23,c,c,1214
10,c,24,c,12,9,840
12,c,c,0,30,0,1298
58,7,0,c,72,18,1647
18,c,7,c,26,c,631
20,c,c,0,56,43,3391
17,c,c,7,64,23,1029
24,c,c,0,7,10,968
22,c,9,c,30,8,1380
7,6,8,7,35,21,2785
34,c,10,18,98,6,1376
36,c,11,c,161,11,1037
71,c,15,13,48,c,1580
8,6,7,19,127,11,1551
42,8,16,26,c,11,2108
23,c,c,15,88,20,1597
19,11,8,23,84,34,1959
c,0,10,13,30,c,878
10,c,10,c,38,22,1487
x,x,x,x,x,x,x
12,7,14,37,182,9,3471
69,c,10,17,78,c,2230
c,c,15,18,16,0,1254
c,9,0,0,30,0,3378
17,7,c,12,75,46,2017
25,c,c,6,13,21,2018
c,c,6,40,56,24,2102
22,c,24,17,74,c,1218
18,c,c,c,43,c,617
8,c,0,c,71,15,771
9,c,c,c,49,6,730
59,c,c,15,77,25,966
40,c,13,38,44,53,4008
19,c,c,30,44,20,812
21,9,c,17,67,37,2735
14,c,9,11,103,c,1762
32,7,38,43,113,17,4489
7,c,0,c,15,24,2782
60,0,13,19,c,9,1963
c,6,0,0,c,c,2668
116,31,28,46,285,36,6165
22,7,c,7,99,c,1774
24,c,21,16,35,c,464
43,c,c,35,116,37,2073
18,c,c,c,22,8,2671
41,c,c,20,67,55,3710
19,18,c,11,58,c,4670
44,c,c,12,36,29,268
0,0,0,0,15,0,1416
80,14,0,0,0,19,5003
10,c,c,10,53,17,1941
c,0,0,0,c,0,978
53,8,6,c,79,c,4438
51,c,c,9,8,8,5209
0,0,0,0,0,0,3461
71,6,14,16,133,42,2386
c,0,c,0,11,c,157
54,6,15,30,166,66,2719
38,10,7,10,109,18,1529
19,c,7,7,c,c,2228
16,c,0,0,11,c,1805
41,c,c,0,86,0,3285
c,c,0,0,0,0,742
11,0,c,7,10,c,1170
108,c,c,59,201,44,3474
22,c,c,19,114,28,1529
17,c,13,c,35,14,1482
83,c,9,21,c,0,4398
26,7,c,25,34,19,3250
0,c,0,0,0,88,2170
29,c,17,c,82,36,1303
9,c,c,0,31,c,1006
31,c,0,c,0,0,2275
15,c,c,22,97,18,914
131,19,21,68,208,88,4805
79,13,10,62,125,55,6110
10,8,7,12,62,29,983
0,c,0,0,c,0,224
24,c,c,11,56,10,1674
20,c,c,c,8,c,867
82,6,10,14,36,0,5145
12,c,12,21,25,14,1481
7,c,c,0,11,0,579
31,0,c,13,c,7,1496
19,c,c,c,93,30,3439
40,8,c,29,c,9,7234
18,22,43,c,44,c,10145
7,c,c,8,c,0,1535
118,c,36,107,319,100,7158
44,c,c,13,49,21,1320
20,6,9,17,42,11,974
46,c,26,c,92,42,2335
23,c,7,20,17,13,1349
13,c,c,6,27,9,1205
8,c,c,c,96,7,1884
0,c,0,0,0,0,3436
47,10,15,36,63,71,6700
c,c,c,0,34,10,584
47,c,c,c,40,7,5179
6,c,c,6,10,14,387
c,0,c,c,21,c,301
c,c,c,6,15,c,756
22,c,8,c,0,6,1365
39,16,9,24,63,21,1855
x,x,x,x,x,x,x
42,16,0,30,0,11,4366
19,c,7,0,81,18,2277
33,c,40,53,94,c,2683
0,0,0,0,0,0,c
c,c,c,c,50,6,1581
15,0,c,c,c,c,3146
7,0,0,c,8,c,755
23,7,25,12,108,38,6354
6,c,c,0,35,12,565
9,c,10,c,31,8,904
c,0,15,0,42,c,1161
27,6,6,12,61,12,2077
19,c,c,0,92,12,609
0,0,0,0,c,0,8
16,c,c,0,69,c,1790
0,0,0,0,0,0,1424
38,0,9,20,84,7,859
14,c,c,19,96,8,2183
c,c,0,c,56,16,1454
c,0,0,9,66,c,535
14,c,c,32,64,23,1795
7,c,6,c,70,c,4624
13,c,c,c,58,c,1140
14,0,c,8,12,c,2052
c,c,0,c,11,0,1293
c,c,0,c,c,0,1472
16,c,c,20,c,9,2747
17,c,c,17,83,20,2410
20,c,c,18,26,9,2256
0,c,0,0,0,0,1887
c,7,c,0,20,c,1279
14,c,c,19,62,25,1118
17,7,15,14,154,12,1869
26,c,8,18,138,30,2297
c,c,0,0,10,0,1108
11,c,c,8,73,8,1189
c,c,0,0,0,0,183
9,c,c,c,112,17,1102
10,6,c,c,27,11,2142
c,c,0,19,60,18,921
c,0,c,c,43,12,721
c,c,8,11,246,37,2929
c,c,c,0,13,10,518
8,c,0,6,33,c,1025
8,c,c,0,11,0,2563
8,c,c,16,0,0,238
x,x,x,x,x,x,x
16,7,24,16,0,0,1461
c,c,31,9,26,13,771
9,c,c,0,13,0,716
33,8,c,c,73,23,1597
21,c,13,c,35,6,1862
23,c,c,14,25,28,3419
15,c,c,c,71,16,1193
24,c,c,c,18,12,993
16,c,8,c,8,11,1128
12,c,c,c,28,19,2974
13,c,13,16,84,14,1835
22,c,c,10,99,9,1050
34,c,15,13,36,c,1168
19,c,c,c,49,c,1882
25,9,15,6,0,c,2018
35,c,c,35,65,24,1628
45,7,13,20,71,36,1889
6,c,c,c,29,c,357
c,c,11,7,37,21,2423
0,10,8,0,86,0,5236
0,0,0,0,0,0,6167
56,c,c,58,71,26,2734
x,x,x,x,x,x,x
0,c,0,0,39,0,3214
c,6,11,9,52,10,1132
14,c,6,8,14,c,1551
13,c,c,45,70,20,1360
32,6,19,15,69,23,1118
27,c,14,c,82,c,1353
22,6,c,c,46,25,663
c,c,6,24,39,7,618
c,c,11,21,45,12,2436
16,c,7,37,33,51,3711
31,c,c,16,42,26,1036
24,7,c,23,45,35,3058
27,c,15,17,84,c,1104
20,8,15,24,70,14,3045
c,c,c,c,40,10,2414
52,10,11,15,c,c,1779
c,c,0,0,6,c,2773
66,23,13,45,176,60,5708
14,c,7,c,79,c,1520
12,0,10,21,21,6,830
30,c,10,c,87,26,1641
22,c,0,c,18,c,2963
24,10,c,c,53,15,1766
20,14,c,c,33,0,2913
15,c,c,6,19,13,291
c,10,0,0,17,0,1535
75,16,0,0,0,51,7638
14,c,c,9,76,24,2092
c,0,0,0,0,0,906
33,12,8,c,59,c,4617
31,14,c,c,40,c,2638
0,0,0,0,0,0,2679
49,c,8,7,53,c,1435
0,0,0,0,16,c,173
48,c,25,24,c,70,2668
40,c,c,c,87,29,2154
26,12,0,6,13,c,2387
34,0,0,0,c,0,1117
49,c,0,0,74,c,2725
0,c,0,0,c,c,699
0,12,0,c,21,0,826
69,c,c,30,210,41,3045
c,c,23,26,79,26,1438
22,c,15,c,77,14,1193
10,c,9,7,c,c,1722
15,c,c,c,41,22,4573
36,c,c,15,37,1728,333
33,c,12,c,77,20,2528
c,0,c,0,9,c,1383
28,0,0,0,c,0,1786
6,c,c,c,55,15,1546
71,17,29,91,207,84,5100
41,21,13,44,148,97,5467
11,7,c,c,48,c,895
x,x,x,x,x,x,x
32,c,c,13,79,14,1800
17,c,c,15,19,10,959
44,c,18,17,70,c,4253
9,c,8,12,75,c,1578
7,0,0,0,c,c,277
46,c,c,18,0,0,1989
17,7,0,c,87,52,3167
c,c,c,20,22,19,7433
25,23,17,c,45,c,5401
0,c,0,c,0,0,835
87,24,118,83,313,112,6695
44,c,c,0,41,0,2300
22,c,c,33,53,15,959
39,10,13,20,84,39,2318
15,c,c,c,30,11,1442
10,c,c,7,25,13,1452
9,c,c,0,61,c,956
11,c,10,0,0,0,3443
37,10,11,35,76,56,7565
8,c,24,0,47,c,992
29,c,0,0,59,c,4086
c,0,c,8,12,6,662
c,0,c,6,14,11,523
8,0,c,c,0,8,893
13,c,0,0,c,0,1045
10,13,c,c,43,17,3637
49,8,6,c,77,c,1875
c,0,c,0,c,45,2515
13,c,c,c,66,21,2898
15,6,23,36,88,46,2596
c,0,0,0,0,0,c
c,c,c,c,43,16,1757
32,c,c,6,c,6,2859
14,0,0,c,10,c,915
27,11,8,15,78,42,4521
c,c,c,c,26,6,572
8,c,c,15,29,6,756
c,0,10,c,19,c,1083
12,7,c,c,36,25,2481
18,c,16,15,51,11,1493
0,0,0,0,c,0,14
10,c,13,c,141,19,902
0,c,0,0,6,c,1403
15,0,0,c,35,c,1153
20,c,13,19,96,9,2277
c,6,c,c,106,11,1418
11,c,c,10,141,c,1241
17,c,8,c,101,21,1970
c,8,c,c,54,c,2828
19,c,c,0,64,22,1136
18,c,c,c,0,c,1837
18,c,14,11,10,c,1476
7,c,0,c,29,c,1382
c,c,0,8,c,9,2269
14,c,c,17,125,28,2644
22,c,0,11,c,16,1542
c,c,0,0,c,0,2009
21,c,16,c,62,31,1113
23,c,c,15,47,16,1701
9,c,8,29,94,15,1988
c,c,c,c,96,17,2252
28,11,c,12,12,c,1520
6,c,0,c,22,8,780
0,0,0,0,0,0,521
9,6,6,c,89,26,3505
15,7,0,7,29,9,1516
6,c,9,c,57,23,595
c,c,c,c,49,c,768
10,c,10,c,251,27,1863
c,0,13,c,35,11,485
c,0,0,0,0,c,532
16,7,0,c,c,c,1102
